fn_id,dim,AOA,EO,GWO,MVDO,PSO,SCA,SVOA,WOA
1,30,7.0,5.0,4.0,2.0,3.0,6.0,1.0,8.0
3,30,6.0,3.0,4.0,1.0,2.0,7.0,5.0,8.0
4,30,6.0,4.0,5.0,1.0,3.0,7.0,2.0,8.0
5,30,6.0,4.0,5.0,1.0,2.0,7.0,3.0,8.0
6,30,7.0,4.0,5.0,1.0,2.0,6.0,3.0,8.0
7,30,7.0,4.0,5.0,1.0,2.0,6.0,3.0,8.0
8,30,6.0,5.0,4.0,1.0,2.0,7.0,3.0,8.0
9,30,7.0,4.0,5.0,2.0,3.0,6.0,1.0,8.0
10,30,6.0,3.0,4.0,1.0,2.0,8.0,5.0,7.0
11,30,7.0,4.0,5.0,2.0,1.0,6.0,3.0,8.0
12,30,6.0,4.0,5.0,3.0,1.0,7.0,2.0,8.0
13,30,6.0,3.0,4.0,1.0,2.0,8.0,5.0,7.0
14,30,5.0,6.0,4.0,1.0,3.0,7.0,2.0,8.0
15,30,6.0,3.0,5.0,2.0,1.0,7.0,4.0,8.0
16,30,6.0,3.0,5.0,1.0,2.0,7.0,4.0,8.0
17,30,6.0,3.0,5.0,2.0,1.0,7.0,4.0,8.0
18,30,6.0,4.0,5.0,1.0,3.0,7.0,2.0,8.0
19,30,6.0,2.0,5.0,4.0,1.0,7.0,3.0,8.0
20,30,6.0,5.0,4.0,3.0,1.0,7.0,2.0,8.0
21,30,6.0,4.0,5.0,1.0,2.0,7.0,3.0,8.0
22,30,6.0,5.0,4.0,2.0,3.0,7.0,1.0,8.0
23,30,6.0,3.0,4.0,1.0,5.0,7.0,2.0,8.0
24,30,6.0,4.0,3.0,1.0,5.0,7.0,2.0,8.0
25,30,7.0,4.0,5.0,1.0,3.0,6.0,2.0,8.0
26,30,6.0,4.0,5.0,2.0,3.0,7.0,1.0,8.0
27,30,6.0,3.0,4.0,1.0,5.0,7.0,2.0,8.0
28,30,7.0,4.0,5.0,1.0,3.0,6.0,2.0,8.0
29,30,6.0,3.0,4.0,2.0,1.0,7.0,5.0,8.0
30,30,6.0,3.0,5.0,4.0,1.0,7.0,2.0,8.0
