fn_id,dim,AOA,EO,GWO,MVDO,PSO,SCA,SVOA,WOA
1,30,7.0,5.0,4.0,2.0,3.0,6.0,1.0,8.0
1,50,6.0,5.0,4.0,2.0,3.0,7.0,1.0,8.0
3,30,6.0,3.0,4.0,1.0,2.0,7.0,5.0,8.0
3,50,4.0,3.0,2.0,1.0,5.0,7.0,6.0,8.0
4,30,6.0,4.0,5.0,1.0,3.0,7.0,2.0,8.0
4,50,6.0,4.0,5.0,1.0,3.0,7.0,2.0,8.0
5,30,6.0,4.0,5.0,1.0,2.0,7.0,3.0,8.0
5,50,6.0,5.0,4.0,1.0,2.0,7.0,3.0,8.0
6,30,7.0,4.0,5.0,1.0,2.0,6.0,3.0,8.0
6,50,6.0,5.0,4.0,1.0,2.0,7.0,3.0,8.0
7,30,7.0,4.0,5.0,1.0,2.0,6.0,3.0,8.0
7,50,7.0,5.0,4.0,1.0,2.0,6.0,3.0,8.0
8,30,6.0,5.0,4.0,1.0,2.0,7.0,3.0,8.0
8,50,6.0,5.0,4.0,1.0,2.0,7.0,3.0,8.0
9,30,7.0,4.0,5.0,2.0,3.0,6.0,1.0,8.0
9,50,6.0,4.0,5.0,2.0,3.0,7.0,1.0,8.0
10,30,6.0,3.0,4.0,1.0,2.0,8.0,5.0,7.0
10,50,6.0,3.0,4.0,2.0,1.0,8.0,5.0,7.0
11,30,7.0,4.0,5.0,2.0,1.0,6.0,3.0,8.0
11,50,7.0,4.0,5.0,2.0,1.0,6.0,3.0,8.0
12,30,6.0,4.0,5.0,3.0,1.0,7.0,2.0,8.0
12,50,6.0,5.0,3.0,2.0,4.0,7.0,1.0,8.0
13,30,6.0,3.0,4.0,1.0,2.0,8.0,5.0,7.0
13,50,6.0,4.0,5.0,1.0,3.0,7.0,2.0,8.0
14,30,5.0,6.0,4.0,1.0,3.0,7.0,2.0,8.0
14,50,6.0,4.0,5.0,1.0,2.0,7.0,3.0,8.0
15,30,6.0,3.0,5.0,2.0,1.0,7.0,4.0,8.0
15,50,6.0,3.0,5.0,2.0,1.0,7.0,4.0,8.0
16,30,6.0,3.0,5.0,1.0,2.0,7.0,4.0,8.0
16,50,6.0,4.0,3.0,1.0,2.0,7.0,5.0,8.0
17,30,6.0,3.0,5.0,2.0,1.0,7.0,4.0,8.0
17,50,6.0,1.0,2.0,4.0,3.0,7.0,5.0,8.0
18,30,6.0,4.0,5.0,1.0,3.0,7.0,2.0,8.0
18,50,6.0,4.0,5.0,1.0,3.0,7.0,2.0,8.0
19,30,6.0,2.0,5.0,4.0,1.0,7.0,3.0,8.0
19,50,6.0,4.0,3.0,5.0,1.0,7.0,2.0,8.0
20,30,6.0,5.0,4.0,3.0,1.0,7.0,2.0,8.0
20,50,6.0,3.0,2.0,4.0,1.0,8.0,5.0,7.0
21,30,6.0,4.0,5.0,1.0,2.0,7.0,3.0,8.0
21,50,6.0,4.0,5.0,1.0,2.0,7.0,3.0,8.0
22,30,6.0,5.0,4.0,2.0,3.0,7.0,1.0,8.0
22,50,6.0,4.0,5.0,3.0,2.0,8.0,1.0,7.0
23,30,6.0,3.0,4.0,1.0,5.0,7.0,2.0,8.0
23,50,6.0,4.0,3.0,1.0,5.0,7.0,2.0,8.0
24,30,6.0,4.0,3.0,1.0,5.0,7.0,2.0,8.0
24,50,6.0,3.0,4.0,1.0,5.0,7.0,2.0,8.0
25,30,7.0,4.0,5.0,1.0,3.0,6.0,2.0,8.0
25,50,6.0,5.0,4.0,1.0,3.0,7.0,2.0,8.0
26,30,6.0,4.0,5.0,2.0,3.0,7.0,1.0,8.0
26,50,6.0,5.0,4.0,1.0,3.0,7.0,2.0,8.0
27,30,6.0,3.0,4.0,1.0,5.0,7.0,2.0,8.0
27,50,6.0,4.0,5.0,1.0,3.0,7.0,2.0,8.0
28,30,7.0,4.0,5.0,1.0,3.0,6.0,2.0,8.0
28,50,6.0,5.0,4.0,1.0,3.0,7.0,2.0,8.0
29,30,6.0,3.0,4.0,2.0,1.0,7.0,5.0,8.0
29,50,6.0,5.0,4.0,2.0,1.0,7.0,3.0,8.0
30,30,6.0,3.0,5.0,4.0,1.0,7.0,2.0,8.0
30,50,6.0,4.0,5.0,3.0,1.0,7.0,2.0,8.0
