fn_id,dim,AOA,EO,GWO,MVDO,PSO,SCA,SVOA,WOA
1,30,4.0,2.0,2.0,8.0,5.0,6.0,7.0,2.0
1,100,4.0,2.0,2.0,6.0,7.0,8.0,5.0,2.0
2,30,5.0,2.0,2.0,8.0,6.0,4.0,7.0,2.0
2,100,4.0,2.0,3.0,7.0,6.0,5.0,8.0,1.0
3,30,4.0,1.0,2.0,5.0,6.0,7.0,8.0,3.0
3,100,4.0,1.0,2.0,5.0,7.0,8.0,6.0,3.0
4,30,4.0,1.0,3.0,5.0,6.0,8.0,7.0,2.0
4,100,4.0,2.0,3.0,5.0,6.0,8.0,7.0,1.0
5,30,4.0,2.0,3.0,8.0,6.0,7.0,5.0,1.0
5,100,4.0,3.0,2.0,6.0,7.0,8.0,5.0,1.0
6,30,8.0,2.5,2.5,7.0,6.0,5.0,2.5,2.5
6,100,5.0,2.0,2.0,6.0,7.0,8.0,4.0,2.0
7,30,4.0,2.0,2.0,7.0,5.0,8.0,6.0,2.0
7,100,4.0,2.0,2.0,6.0,7.0,8.0,5.0,2.0
8,30,4.0,5.0,6.0,3.0,2.0,8.0,7.0,1.0
8,100,4.0,6.0,5.0,2.0,3.0,8.0,7.0,1.0
9,30,5.0,2.0,3.0,7.0,6.0,4.0,8.0,1.0
9,100,5.0,2.0,3.0,6.0,7.0,4.0,8.0,1.0
10,30,5.0,2.0,3.0,6.0,4.0,7.0,8.0,1.0
10,100,4.0,2.0,3.0,5.0,6.0,8.0,7.0,1.0
11,30,4.0,2.0,3.0,7.0,5.0,6.0,8.0,1.0
11,100,4.0,2.0,3.0,5.0,6.0,7.0,8.0,1.0
12,30,7.0,3.0,4.0,5.0,1.0,8.0,6.0,2.0
12,100,4.0,3.0,2.0,5.0,7.0,8.0,6.0,1.0
13,30,7.0,5.0,6.0,3.0,1.0,8.0,4.0,2.0
13,100,4.0,3.0,2.0,6.0,7.0,8.0,5.0,1.0
14,2,7.0,4.0,8.0,3.0,1.0,5.0,2.0,6.0
15,4,7.0,2.0,1.0,6.0,3.0,8.0,4.0,5.0
16,2,6.0,3.0,5.0,7.0,1.5,8.0,1.5,4.0
17,2,7.0,2.0,4.0,6.0,1.0,8.0,3.0,5.0
18,2,8.0,3.0,5.0,4.0,1.5,6.0,1.5,7.0
19,3,6.0,2.0,5.0,3.0,1.0,7.0,4.0,8.0
20,6,6.0,5.0,3.0,4.0,1.0,8.0,2.0,7.0
21,4,7.0,3.0,5.0,4.0,2.0,8.0,1.0,6.0
22,4,6.0,4.0,3.0,5.0,2.0,8.0,1.0,7.0
23,4,7.0,3.0,4.0,5.0,2.0,8.0,1.0,6.0
