fn_id,dim,AOA,EO,GWO,MVDO,PSO,SCA,SVOA,WOA
1,100,4.0,2.0,2.0,6.0,7.0,8.0,5.0,2.0
2,100,4.0,2.0,3.0,7.0,6.0,5.0,8.0,1.0
3,100,4.0,1.0,2.0,5.0,7.0,8.0,6.0,3.0
4,100,4.0,2.0,3.0,5.0,6.0,8.0,7.0,1.0
5,100,4.0,3.0,2.0,6.0,7.0,8.0,5.0,1.0
6,100,5.0,2.0,2.0,6.0,7.0,8.0,4.0,2.0
7,100,4.0,2.0,2.0,6.0,7.0,8.0,5.0,2.0
8,100,4.0,6.0,5.0,2.0,3.0,8.0,7.0,1.0
9,100,5.0,2.0,3.0,6.0,7.0,4.0,8.0,1.0
10,100,4.0,2.0,3.0,5.0,6.0,8.0,7.0,1.0
11,100,4.0,2.0,3.0,5.0,6.0,7.0,8.0,1.0
12,100,4.0,3.0,2.0,5.0,7.0,8.0,6.0,1.0
13,100,4.0,3.0,2.0,6.0,7.0,8.0,5.0,1.0
