algorithm,fn_id,dim,num_runs,pop_size,max_iter,fes_per_run,mean_error,std_error,min_error,median_error,max_error,logscore,elapsed_sec
MVDO,1,10,30,30,1000,30000,0.0916704226100175,0.055614804448672,0.0261771016585043,0.0774068991368324,0.3000996779212528,-1.0996328482573192,1.778954029083252
MVDO,2,10,30,30,1000,30000,6.659249044502957,2.897453804217476,0.0103168114952154,7.862166146751207,8.920412832025193,0.6248857659348347,1.4962260723114014
MVDO,3,10,30,30,1000,30000,1.0847896796906336,0.8424036214368743,0.0977297920976525,0.877145028301527,3.747377948368808,-0.1097633029638781,1.4783995151519775
MVDO,4,10,30,30,1000,30000,11.11922737690143,4.688324603525179,3.990017914272357,10.456215197640065,23.8883052267048,1.0071355200683116,1.4878709316253662
MVDO,5,10,30,30,1000,30000,0.0951768712561602,0.2086125007484953,0.0026525570731337,0.0111724235259202,0.9355398098145996,-1.7298363765865483,1.6259043216705322
MVDO,6,10,30,30,1000,30000,2522.0745436245643,2087.364601682852,221.8665116707757,1751.6251390368973,6761.566531243916,3.213800010213457,1.7950634956359863
MVDO,7,10,30,30,1000,30000,25.498265265966783,24.391137950788544,1.6400444540929584,22.30226881929684,151.57002383687086,1.293592225330576,2.4680726528167725
MVDO,8,10,30,30,1000,30000,22.37209013770104,6.318489157604216,3.218364387498241,23.869692690708234,29.83450877277164,1.308660153536901,2.3211514949798584
MVDO,9,10,30,30,1000,30000,234.230019347542,26.366721920249507,229.28809721031396,229.31250904271724,376.2188590806095,2.3676339008579084,2.213780403137207
MVDO,10,10,30,30,1000,30000,137.9282153411413,51.68749292154824,100.2522780813124,100.44450919575706,221.100726014512,2.111976177075212,2.182092905044556
MVDO,11,10,30,30,1000,30000,89.91517919968622,153.1419974107485,0.5490352109995911,1.3039314373370416,400.4935020635685,0.7025568423882371,2.4447033405303955
MVDO,12,10,30,30,1000,30000,162.66808362007657,1.8443720436963804,158.63772423781438,163.33698666935106,165.06890648679155,2.211274231057224,2.5597116947174072
MVDO,1,20,30,30,1000,30000,16.941933948068275,9.796026761541746,3.994373935577471,13.954775843165663,45.05837734429451,1.1591367779089523,1.5009150505065918
MVDO,2,20,30,30,1000,30000,52.39607023769195,12.521166758284028,24.351170240580476,49.15537237224604,73.79257025019137,1.7059734143263308,1.4904944896697998
MVDO,3,20,30,30,1000,30000,5.587607330080906,2.637222350638849,1.88464894571689,5.069974420970084,13.163012801559605,0.7026717528402225,1.4775993824005127
MVDO,4,20,30,30,1000,30000,33.918773602105425,10.165123083492489,16.114639505535024,32.04169364269927,59.23407797886637,1.510940018496158,1.4568467140197754
MVDO,5,20,30,30,1000,30000,26.55741130404144,21.205510563286893,1.0237601875503517,23.61153732278348,92.99679374102072,1.218915525177018,1.593219518661499
MVDO,6,20,30,30,1000,30000,12528.389020326724,7246.026143887032,2633.70093402318,10711.17677887225,26548.44318773186,4.009554275269328,1.7568678855895996
MVDO,7,20,30,30,1000,30000,79.32929816056775,43.852641442532736,27.04100705923838,68.86913884432624,215.9128441251405,1.8467890187343927,2.4095466136932373
MVDO,8,20,30,30,1000,30000,79.65938807262314,63.90853365616655,25.781030570818984,34.531689246612586,207.43388635382556,1.7585222266830656,2.2965190410614014
